Start Time(s),Start Floor,End Floor
41,54,55
43,30,74
88,87,32
93,35,55
121,35,4
168,63,22
205,20,92
211,23,32
268,48,72
325,70,69
380,57,48
434,40,22
447,7,98
454,35,49
495,55,68
550,27,58
557,19,96
590,87,54
616,96,74
645,95,35
649,40,5
707,32,13
729,11,44
749,63,79
804,62,5
813,3,91
836,16,43
849,85,27
860,95,38
885,92,15
944,42,36
990,13,72
1012,51,67
1027,92,26
1049,25,52
1053,18,65
1086,17,38
1113,3,68
1124,10,84
1160,46,4
1200,71,65
1235,98,32
1286,13,22
1344,35,29
1400,64,1
1437,65,87
1466,11,13
1468,36,14
1492,5,55
1495,96,68
1507,78,22
1527,32,28
1545,88,22
1581,89,58
1627,1,67
1656,92,49
1694,85,26
1749,28,31
1755,69,95
1812,59,8
1823,65,62
1862,55,34
1890,74,72
1921,55,41
1952,36,84
1994,93,2
2003,86,82
2032,45,84
2073,98,52
2122,50,38
2131,54,73
2175,33,76
2214,30,40
2241,81,97
2250,48,95
2296,60,67
2344,26,93
2365,92,79
2375,36,60
2403,24,61
2422,87,56
2465,45,46
2498,30,93
2553,57,51
2576,38,63
2582,32,23
2626,93,89
2674,49,46
2721,43,91
2769,7,67
2816,81,60
2838,41,84
2865,94,94
2917,93,5
2941,39,54
2963,79,99
2994,27,21
3001,36,75
3014,97,32
3027,36,56
3032,18,86
3067,29,91
3068,82,43
3114,87,7
3125,74,75
3161,42,33
3207,19,44
3245,63,66
3271,91,29
3287,20,58
3342,53,38
3358,12,5
3375,93,20
3412,45,72
3434,33,21
3493,12,85
3551,56,5
3560,72,56
3605,44,90
3611,8,14
3646,63,62
3688,37,95
3707,88,21
3717,90,40
3721,17,1
3724,17,34
3733,89,44
3776,98,70
3835,25,33
3866,5,40
3888,9,34
3913,57,38
3973,78,68
4004,75,84
4045,91,3
4084,53,15
4097,44,92
4156,37,15
4197,36,38
4213,7,92
4264,89,52
4307,75,25
4311,64,62
4351,18,35
4362,74,13
4386,90,79
4394,24,83
4451,34,10
4496,41,79
4526,7,56
4566,20,52
4603,86,6
4618,59,35
4652,28,93
4659,62,78
4675,84,69
4689,71,61
4730,66,7
4732,9,98
4783,81,25
4785,57,31
4818,77,50
4863,49,42
4909,27,41
4948,27,89
4988,88,31
4993,11,16
5032,44,20
5075,89,92
5098,45,84
5124,28,42
5158,41,45
5168,78,88
5174,72,7
5175,82,32
5194,44,30
5238,12,48
5270,33,16
5314,88,55
5352,93,86
5406,57,87
5463,74,48
5504,15,74
5537,45,2
5568,85,9
5571,34,89
5576,4,57
5632,87,53
5645,52,19
5658,40,7
5683,26,9
5696,77,61
5746,3,10
5769,34,45
5804,83,49
5830,24,28
5872,24,84
5924,80,52
5952,9,37
5990,37,53
5994,84,65
6017,31,24
6055,2,51
6065,2,17
6118,23,86
6120,97,86
6166,57,70
6170,17,48
6216,50,9
6268,9,18
6319,43,95
6333,94,63
6388,35,15
6392,43,72
6439,5,85
6460,47,81
6489,66,91
6528,25,32
6545,99,18
6585,79,67
6600,83,68
6634,41,71
6684,51,79
6735,49,76
6770,23,52
6786,90,32
6796,40,39
6854,16,58
6859,54,28
6907,82,50
6939,72,62
6973,98,11
6991,55,67
7050,93,65
7073,52,47
7131,24,57
7153,4,35
7167,41,7
7167,61,98
7182,54,72
7241,99,84
7244,3,77
7285,67,55
7328,25,95
7377,67,28
7419,8,1
7420,48,23
7453,75,2
7476,54,34
7505,30,9
7556,53,85
7599,36,15
7637,92,30
7655,50,37
7704,50,91
7712,64,66
7767,16,91
7821,94,21
7826,99,56
7855,98,90
7893,51,28
7910,85,50
7938,39,33
7963,15,8
7974,92,90
7996,74,8
8052,36,16
8071,2,56
8086,14,31
8086,53,47
8123,36,97
8167,48,2
8201,60,41
8245,37,64
8282,83,95
8296,24,20
8331,51,37
8372,74,27
8398,36,91
8431,98,19
8489,77,73
8537,9,70
8582,89,36
8630,91,72
8677,44,19
8734,15,96
8770,73,77
8816,3,95
8835,89,58
8841,99,63
8864,65,23
8902,92,43
8919,31,4
8942,87,98
8960,20,2
8990,16,7
9003,7,67
9047,88,79
9074,63,88
9100,63,10
9105,5,55
9128,99,29
9136,82,61
9162,20,95
9163,39,89
9203,39,76
9224,51,16
9274,6,2
9319,32,69
9364,63,97
9400,45,3
9414,51,61
9469,57,67
9500,91,87
9517,70,15
9573,84,31
9619,5,51
9665,92,79
9704,44,21
9705,42,29
9764,74,52
9805,30,49
9864,94,52
9873,83,84
9922,23,65
9970,44,22
10019,38,44
10026,16,48
10050,40,96
10098,14,40
10138,14,36
10191,68,24
10239,63,12
10255,97,80
10288,4,51
10331,80,70
10390,78,9
10394,59,63
10411,54,6
10451,18,15
10511,76,65
10533,76,73
10546,95,62
10604,30,29
10635,51,33
10695,37,26
10743,23,99
10754,68,5
10790,89,53
10838,30,67
10889,21,60
10902,73,43
10955,13,67
11014,21,5
11040,32,53
11079,18,37
11119,53,4
11119,48,64
11134,30,69
11155,73,25
11182,95,7
11201,57,39
11253,57,92
11258,36,80
11300,88,75
11339,18,42
11364,76,71
11380,28,18
11423,76,89
11457,46,10
11464,79,14
11472,73,60
11488,15,96
11509,68,33
11520,52,57
11577,7,75
11593,53,93
11616,20,31
11636,66,70
11656,82,26
11709,28,75
11732,30,67
11751,84,75
11789,49,50
11798,40,97
11831,46,42
11876,71,96
11906,4,9
11929,65,92
11975,2,67
12023,2,70
12058,32,52
12062,1,13
12118,5,66
12153,86,6
12213,10,47
12265,74,67
12281,71,20
12334,13,15
12386,22,13
12417,54,78
12418,81,89
12427,9,56
12476,70,48
12479,32,7
12516,80,27
12526,23,19
12552,23,25
12592,90,73
12605,44,9
12635,46,56
12637,19,69
12686,76,25
12720,13,47
12740,26,70
12777,71,78
12836,77,9
12871,4,55
12878,84,64
12898,11,44
12935,3,77
12979,7,59
13011,56,24
13046,42,62
13078,52,47
13097,12,20
13109,60,34
13136,80,64
13189,93,68
13189,53,69
13246,51,48
13259,91,71
13271,83,83
13310,27,81
13312,65,34
13342,68,44
13401,76,1
13415,36,79
13444,68,80
13470,83,3
13490,91,65
13522,11,77
13523,26,6
13534,15,2
13553,39,10
13577,75,41
13611,65,46
13629,37,42
13651,67,93
13688,61,5
13722,2,44
13754,43,30
13793,27,60
13805,97,20
13854,16,88
13891,44,51
13935,60,53
13991,58,9
14045,52,83
14103,33,25
14105,60,60
14115,15,27
14121,33,23
14168,94,93
14217,63,14
14240,8,28
14292,24,74
14307,72,96
14343,34,79
14377,9,92
14408,74,44
14423,21,39
14430,32,21
14473,34,36
14530,10,96
14551,79,86
14552,30,34
14569,30,97
14617,42,83
14619,73,54
14644,67,10
14680,96,46
14734,17,82
14763,61,3
14767,20,79
14789,39,29
14845,19,17
14858,12,40
14904,22,62
14937,90,94
14940,89,19
14955,85,89
14960,35,35
14995,57,67
15037,50,45
15071,7,43
15114,67,23
15120,8,36
15122,91,2
15155,33,62
15215,42,76
